"Ticket<br>Price","Ticket<br>Name","Top<br>Prize","Top Prizes<br>Remaining","Chances<br>To Win","Game<br>Started","Claim<br>Date","Probability<br>(1 in)","All Prizes<br> Remaining"
"$1","Loose Change®","$1,000","23","1","08/21/2026","","4.51","910182"
"$1","Triple Red 7s","$777","23","8","05/15/2026","","4.48","633479"
"$1","5X the Cash","$1,000","5","6","01/09/2026","","4.58","180946"
"$1","Cash Tripler","$1,000","7","6","10/27/2025","","4.55","275205"
"$1","Just 1 Buck","$500","12","6","10/17/2025","12/28/2026","4.34","239922"
"$1","CA$H","$1,000","3","6","07/18/2025","11/02/2026","4.51","79823"
"$1","Lucky 7s","$777","4","8","05/19/2025","11/02/2026","4.52","102419"
"$1","MONOPOLY™ X5","$1,000","3","6","01/13/2025","08/24/2026","4.59","122946"
"$2","Ravens X2","$20,000","3","10","07/17/2026","","4.02","654414"
"$2","Triple Red 7s Doubler","$7,777","6","11","05/15/2026","","4.00","574640"
"$2","Maryland Treasures","$10,000","2","12","03/20/2026","","4.07","319726"
"$2","10X the Cash","$10,000","3","10","01/09/2026","","3.91","242348"
"$2","Harlem Globetrotters®","$10,000","5","10","12/05/2025","04/05/2027","3.83","482967"
"$2","Snow Much Fun","$10,000","1","9","10/17/2025","11/02/2026","3.89","334127"
"$2","Ravens X2","$20,000","1","10","08/20/2025","12/28/2026","3.83","64776"
"$2","Lucky 7s Doubler","$7,777","1","11","05/19/2025","12/28/2026","4.02","168091"
"$2","Back to the Future™","$10,000","2","11","03/24/2025","","4.20","194491"
"$2","MONOPOLY™ X10","$10,000","1","10","01/13/2025","08/24/2026","4.12","71701"
"$2","MAGIC 8 BALL™","$8,888","1","11","11/27/2024","02/01/2027","4.10","75976"
"$3","Diamond Bingo","$30,000","5","4","06/17/2026","","3.76","709000"
"$3","Ms.PAC-MAN™","$30,000","5","10","04/17/2026","","3.92","549739"
"$3","Bonus Crossword","$30,000","4","2","02/06/2026","","3.66","491870"
"$3","Candy Cane Cash","$30,000","2","6","10/17/2025","11/30/2026","3.96","201704"
"$3","Diamond Bingo","$30,000","4","4","06/23/2025","02/01/2027","3.77","292603"
"$3","PRESS YOUR LUCK®","$30,000","3","1","04/21/2025","03/01/2027","4.01","410614"
"$3","Bonus Crossword","$30,000","3","2","02/10/2025","09/21/2026","3.69","305069"
"$3","SKEE-BALL®","$15,000","1","2","04/22/2024","","4.09","117658"
"$3","Loteria™","$30,000","2","10","12/28/2023","12/28/2026","3.86","60587"
"$5","The Price is Right™","$50,000","6","16","08/21/2026","","3.56","1144295"
"$5","Gold Bar Bingo","$50,000","6","7","07/17/2026","","3.75","879969"
"$5","In the Green","$50,000","7","15","07/17/2026","","3.87","829754"
"$5","Multiply Your Money","$50,000","4","17","06/17/2026","","3.88","671626"
"$5","Triple Red 7s Tripler","$57,777","5","16","05/15/2026","","3.94","540781"
"$5","Win $25, $50 or $100","$100","6771","15","04/17/2026","","9.36","106639"
"$5","THE BIG SPIN","BIG SPIN","1","20","03/20/2026","","3.93","289675"
"$5","Winning Streak","$50,000","2","18","02/06/2026","","3.78","484151"
"$5","20X the Cash","$50,000","1","15","01/09/2026","","3.76","179053"
"$5","Money Maker","$50,000","2","15","12/05/2025","","3.88","317662"
"$5","Festive Fortune","$50,000","3","15","10/17/2025","11/30/2026","3.93","258713"
"$5","Deluxe Crossword","$50,000","4","3","09/19/2025","","3.47","336712"
"$5","JURASSIC PARK","$50,000","0","16","09/19/2025","04/05/2027","3.64","68899"
"$5","Break the Bank","$50,000","1","15","08/20/2025","02/01/2027","3.77","41217"
"$5","Cash Scratch Fever","$50,000","4","16","07/18/2025","","3.88","359397"
"$5","Gold Bar Bingo","$50,000","1","7","07/18/2025","03/01/2027","3.76","271051"
"$5","Cash Blast","$50,000","4","18","06/23/2025","","3.99","363870"
"$5","Lucky 7s Tripler","$57,777","4","16","05/19/2025","12/28/2026","3.95","282972"
"$5","Let's Make a Deal®","$50,000","1","18","04/21/2025","04/05/2027","3.97","86955"
"$5","Mosaic Money","$50,000","2","15","03/24/2025","11/02/2026","3.76","428291"
"$5","Big Money","$50,000","1","15","02/10/2025","03/01/2027","3.83","154413"
"$5","Ca$h Plu$","$50,000","2","15","08/19/2024","08/24/2026","3.92","322639"
"$10","$100,000 Crossword","$100,000","9","7","08/21/2026","","3.05","948094"
"$10","High Voltage","$100,000","8","25","08/21/2026","","3.29","947646"
"$10","Ravens X10","$200,000","3","26","07/17/2026","","3.40","743279"
"$10","Win $50, $100 or $200","$200","13317","25","06/17/2026","","9.10","327839"
"$10","Triple Red 7s Multiplier","$77,777","6","22","05/15/2026","","3.34","592423"
"$10","Rose Gold","$100,000","6","25","04/17/2026","","3.40","477162"
"$10","Bingo X10","$100,000","4","8","03/20/2026","","3.22","478180"
"$10","Scratch & Match","$100,000","3","25","03/20/2026","","3.45","402425"
"$10","Money","$250,000","3","22","02/06/2026","","3.34","390819"
"$10","50X the Cash","$100,000","2","25","01/09/2026","","3.29","296730"
"$10","Red 5's Doubler","$100,000","2","25","12/05/2025","","3.44","254228"
"$10","Silver Bell Bucks","$100,000","1","25","10/17/2025","12/28/2026","3.31","268186"
"$10","Kings & Queens","$100,000","4","25","09/19/2025","04/05/2027","3.41","414119"
"$10","$100,000 Crossword","$100,000","2","7","08/20/2025","04/05/2027","3.06","258786"
"$10","Ravens X10","$200,000","1","26","08/20/2025","12/28/2026","3.40","173796"
"$10","Double Your Money","$100,000","7","25","07/18/2025","","3.72","286095"
"$10","Win $50, $100 or $200","$200","385","25","06/23/2025","02/01/2027","9.15","9880"
"$10","Lucky 7s Multiplier","$77,777","5","28","05/19/2025","11/30/2026","3.36","383041"
"$10","Ice","$100,000","3","22","04/21/2025","11/02/2026","3.38","293771"
"$10","Bingo X10","$100,000","2","8","03/24/2025","11/02/2026","3.24","184080"
"$10","More Money","$150,000","2","40","03/24/2025","","3.50","198265"
"$10","Money Bags","$250,000","1","28","02/10/2025","09/21/2026","3.50","65920"
"$10","MONOPOLY™ X50","$100,000","1","27","01/13/2025","08/24/2026","3.29","75232"
"$10","Mega Bucks","$100,000","5","26","11/27/2024","08/24/2026","3.36","327248"
"$10","$2,000 Large","$2,000","678","27","09/23/2024","","3.32","349150"
"$20","Extreme Green","$1,000,000","5","34","07/17/2026","","3.14","594426"
"$20","Triple Red 777s","$1,000,000","3","32","05/15/2026","","2.98","523017"
"$20","100X the Cash","$1,000,000","2","30","01/09/2026","","3.15","367044"
"$20","Gifts of Green","$500,000","2","31","10/17/2025","","2.83","183174"
"$20","All About Cash","$1,000,000","2","29","07/18/2025","03/01/2027","3.47","272054"
"$20","Lucky 777","$1,000,000","3","34","05/19/2025","11/30/2026","3.10","332706"
"$20","Bonus Bingo X20","$500,000","2","10","02/10/2025","","2.96","298019"
"$20","MONOPOLY™ X100","$1,000,000","2","32","01/13/2025","08/24/2026","3.12","217769"
"$20","Win $100, $200 or $500","$500","163","30","10/21/2024","02/01/2027","8.84","6736"
"$20","$500,000 Crossword","$500,000","2","8","02/26/2024","08/24/2026","2.84","362067"
"$20","$50,000 Cash","$50,000","52","30","12/29/2022","","3.03","366870"
"$20","THE GAME OF LIFE™","$1,000,000","3","16","10/17/2022","","3.02","614635"
"$25","$1,000,000 Crossword","$1,000,000","2","11","02/06/2026","","2.83","457278"
"$30","Diamonds & Gold","$2,000,000","1","38","04/17/2026","","2.81","573696"
"$30","200X the Cash","$2,000,000","3","40","12/05/2025","","2.84","447623"
"$30","Ace of Spades","$2,000,000","2","30","09/19/2025","","2.73","510194"
"$30","Fire","$2,000,000","2","32","04/21/2025","11/30/2026","2.94","737684"
"$30","$5,000 Large","$5,000","797","42","09/23/2024","","2.64","942148"
"$30","Mega Money","$2,000,000","4","44","04/22/2024","","2.90","654593"
"$30","$100,000 Ca$h","$100,000","45","43","09/18/2023","","2.79","803904"
"$50","$5,000,000 LUXE","$5,000,000","2","50","02/06/2026","","2.50","941823"
"$50","$5,000,000 Fortune","$5,000,000","1","50","02/10/2025","","2.55","396845"
"$50","$5,000,000 CASH","$5,000,000","2","50","02/19/2024","","3.05","813566"
